Drink,Method,ml,Volume (fl oz),Caffeine (per serving),Caffeine (per 100ml),Espressos,More_than_one
Coffee,"Brewed from grounds, prepared with tap water",237,8,95,"40,1","1,48",yes
Coffee,"Brewed from grounds, prepared w/tap water, decaffeinated",237,8,2,"0,8","0,03",no
Coffee (Espresso),"Brewed, espresso, restaurant-prepared",30,1,64,"213,3","1,00",no
Coffee,"Instant, regular, prepared with water",179,6,47,"26,3","0,73",no
Coffee,"Instant, decaffeinated, powder, prepared w/water",179,6,2,"1,1","0,03",no
Black Tea,Generic Black Tea 1 min. brew,237,8,45,"19,0","0,70",no
Black Tea,Generic Black Tea 3 min. brew,237,8,67,"28,3","1,05",yes
Black Tea,Generic Black Tea 5 min. brew,237,8,74,"31,2","1,16",yes
Black Tea,Generic Decaf. Tea 1 tea bag,237,8,2,"0,8","0,03",no
Green Tea,Generic Green Tea 1 min. brew,237,8,22,"9,3","0,34",no
Green Tea,Generic Green Tea 3 min. brew,237,8,43,"18,1","0,67",no
Green Tea,Generic Green Tea 5 min. brew,237,8,50,"21,1","0,78",no
Ice Tea,Generic Ice Tea,355,12,38,"10,7","0,59",no
Oolong Tea,Generic Oolong 1 min. brew,237,8,21,"8,9","0,33",no
Oolong Tea,Generic Oolong 3 min. brew,237,8,48,"20,3","0,75",no
Oolong Tea,Generic Oolong 5 min. brew,237,8,64,"27,0","1,00",no
Oolong Tea,Bag,237,8,30,"12,7","0,47",no
Green Tea,Bag,237,8,20,"8,4","0,31",no
Black Tea,Bag,237,8,40,"16,9","0,63",no
White Tea,Bag,237,8,15,"6,3","0,23",no
Coca Cola,NA,355,12,32,"9,0","0,50",no
Coca Cola Zero,NA,355,12,42,"11,8","0,66",no
Redbull,NA,255,"8,3",77,"30,2","1,20",yes
Redbull (sugar free),NA,255,"8,3",75,"29,4","1,17",yes
Guaraná Antartica,NA,355,12,2,"0,6","0,03",no
Guaraná Antartica Diet,NA,355,12,4,"1,1","0,06",no
Chá de Boldo,NA,150,5,2,"1,3","0,03",no
Chá de Hortelã,NA,150,5,2,"1,3","0,03",no
Erva Mate,NA,150,5,17,"11,3","0,27",no
Chimarrão,Primeira Infusão,150,5,16,"10,7","0,25",no
Chimarrão,Segunda Infusão,150,5,27,"18,0","0,42",no
Chimarrão,Quarta Infusão,150,5,10,"6,7","0,16",no
Chimarrão,Oitava Infusão,150,5,8,"5,3","0,13",no
Terere,NA,100,3,"0,3","0,3","0,00",no